time_utc,coin,dir_raw,direction,closedPnl,px,sz,fee,builderFee,liquidation,oid,tid,crossed,hash,startPosition
2026-07-14T03:17:01.051000+00:00,SOL,Close Short,SHORT,1.22705,74.746,10.67,0.358892,,,495357159879,657075448504240,True,0x73242a83e7167be9749d043fe31d280204a9006982199abb16ecd5d6a61a55d4,-10.67
2026-07-14T11:10:03.701000+00:00,SOL,Close Long,LONG,0.81133,75.401,10.27,0.348465,,,495557784879,973284959098773,True,0x52a2b78225b777d4541c043fe937fe0201750067c0ba96a6f66b62d4e4bb51be,10.27
2026-07-14T11:17:19.367000+00:00,ZEC,Close Long,LONG,1.035,509.36,0.75,0.171909,,,495561323273,857367234646818,True,0x0e965a31628d96a51010043fe94f5e01ea007216fd80b577b25f05842181708f,0.75
2026-07-14T11:17:19.367000+00:00,ZEC,Close Long,LONG,0.0138,509.36,0.01,0.002292,,,495561323273,123926866692674,True,0x0e965a31628d96a51010043fe94f5e01ea007216fd80b577b25f05842181708f,0.76
2026-07-14T12:35:56.029000+00:00,XRP,Close Short,SHORT,-7.9124,1.0844,302.0,0.147369,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '1.0837', 'method': 'market'}",495601881645,461270614437498,True,0xdc7c47859b81f3e1ddf6043fea53030101005f6b368512b38044f2d85a85cdcc,-302.0
2026-07-14T12:35:56.029000+00:00,XRP,Close Short,SHORT,-7.7517,1.0843,297.0,0.144916,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '1.0837', 'method': 'market'}",495601881645,867449438117041,True,0xdc7c47859b81f3e1ddf6043fea53030101005f6b368512b38044f2d85a85cdcc,-599.0
2026-07-14T12:35:56.029000+00:00,XRP,Close Short,SHORT,-4.9329,1.0843,189.0,0.092219,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '1.0837', 'method': 'market'}",495601881645,361543361174291,True,0xdc7c47859b81f3e1ddf6043fea53030101005f6b368512b38044f2d85a85cdcc,-788.0
2026-07-14T17:25:12.778000+00:00,CASHCAT,Close Short,SHORT,5.014976,0.1614,617.0,0.044812,,,495826226045,449488363271876,True,0xfe95061b866c2683000e043fee09c20204e40001216f4556a25db16e4560006e,-617.0
2026-07-14T18:08:01.808000+00:00,HYPE,Close Long,LONG,1.28821,65.198,5.39,0.158137,,,495847400130,279347870144270,True,0x375e7b8334220ca438d8043fee970c02042e0068cf252b76db2726d5f325e68e,5.39
2026-07-14T19:05:23.870000+00:00,HYPE,Close Long,LONG,1.35683,65.437,5.63,0.165784,,,495875891208,127087016109624,True,0x04308f82d3ac5cf705aa043fef52f2020ae800686eaf7bc9a7f93ad592a036e1,5.63
2026-07-14T19:34:15.239000+00:00,SOL,Close Long,LONG,-0.29388,77.14,9.48,0.329079,,,495890230053,796715239152147,True,0x6394c8e154dd54e4650e043fefb0b002043d00c6efd073b6075d743413d12ecf,9.48
2026-07-14T20:17:12.022000+00:00,FARTCOIN,Close Short,SHORT,1.3481,0.14338,2592.5,0.16727,,,495910117377,849544765928802,True,0x5131054382b0f64c52aa043ff03de801b3001d291db4151ef4f9b09641b4d036,-2592.5
2026-07-14T22:19:16.653000+00:00,WLD,Close Short,SHORT,0.259856,0.40938,119.2,0.021959,,,495953631419,147868535063230,True,0x00695a7ee0f9ee9801e3043ff1cdf301c00072647bfd0d6aa43205d19ffdc882,-119.2
2026-07-14T22:19:16.653000+00:00,WLD,Close Short,SHORT,1.597504,0.40938,732.8,0.134997,,,495953631419,174483413189845,True,0x00695a7ee0f9ee9801e3043ff1cdf301c00072647bfd0d6aa43205d19ffdc882,-852.0
2026-07-14T22:21:02.316000+00:00,TAO,Close Short,SHORT,1.90233,201.13,0.919,0.083177,,,495954986464,98453881278781,True,0xd7bc68537ed2df01d936043ff1d3dc020301003919d5fdd37b8513a63dd6b8ec,-0.919
2026-07-15T01:20:08.136000+00:00,HYPE,Close Short,SHORT,1.37223,65.429,5.79,0.170475,,,496034257064,723757422887749,True,0x8073752abe89be7d81ed043ff41d2f0201d50010598cdd4f243c207d7d8d9868,-5.79
2026-07-15T01:55:12.294000+00:00,CRV,Close Short,SHORT,0.010934,0.22268,14.2,0.001422,,,496050383525,782520676285173,True,0x7ecde6f8e2a3ec188047043ff48f9f02033700de7da70aea2296924ba1a7c603,-14.2
2026-07-15T01:55:12.294000+00:00,CRV,Close Short,SHORT,1.262107,0.22268,1639.1,0.164247,,,496050383525,878948556375970,True,0x7ecde6f8e2a3ec188047043ff48f9f02033700de7da70aea2296924ba1a7c603,-1653.3
