event_ts,dir,coin,tfs,align,h1,d1m,d5m,d15m,d1h,mtf,pnl,close_ts,price
2026-07-15T02:13:32.966+00:00,SHORT,UNI,3,75,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI70 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI46 DOWN · 1h SHORT 100% RSI40 SIDEWAYS,1.7069,2026-07-15T02:39:27.913+00:00,3.65775
2026-07-15T03:15:27.015+00:00,SHORT,UNI,3,100,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI59 SIDEWAYS · 15m SHORT 100% RSI48 SIDEWAYS · 1h SHORT 100% RSI46 SIDEWAYS,2.091999,2026-07-15T07:11:02.446+00:00,3.6614
2026-07-15T10:12:20.728+00:00,SHORT,LIT,2,75,SIDEWAYS,HOLD,SHORT,HOLD,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI40 SIDEWAYS · 15m HOLD 50% RSI45 DOWN · 1h SHORT 100% RSI49 SIDEWAYS,1.1013,2026-07-15T11:06:10.734+00:00,2.5964
2026-07-15T10:41:18.143+00:00,SHORT,AAVE,3,75,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI47 DOWN · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI54 SIDEWAYS · 1h SHORT 100% RSI43 SIDEWAYS,2.28738,2026-07-15T14:28:16.425+00:00,98.341
2026-07-15T11:15:04.896+00:00,SHORT,XPL,3,100,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI50 SIDEWAYS · 15m SHORT 100% RSI72 SIDEWAYS · 1h SHORT 67% RSI51 SIDEWAYS,4.714388,2026-07-15T14:02:14.619+00:00,0.093677
2026-07-15T14:17:06.046+00:00,LONG,CRV,3,75,SIDEWAYS,LONG,HOLD,LONG,LONG,1m LONG 100% RSI50 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI55 DOWN · 1h LONG 100% RSI38 SIDEWAYS,-11.072581,2026-07-16T08:09:13.657+00:00,0.21964
2026-07-15T14:40:28.435+00:00,SHORT,CC,3,100,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 67% RSI36 SIDEWAYS · 15m SHORT 100% RSI53 SIDEWAYS · 1h SHORT 100% RSI48 SIDEWAYS,0.047995,2026-07-15T15:00:08.287+00:00,0.138485
2026-07-15T15:14:15.157+00:00,LONG,CASHCAT,2,100,SIDEWAYS,LONG,LONG,HOLD,HOLD,1m LONG 100% RSI22 SIDEWAYS · 5m LONG 100% RSI39 SIDEWAYS · 15m HOLD 0% RSI50 SIDEWAYS · 1h HOLD 0% RSI50 SIDEWAYS,-24.21568,2026-07-15T18:47:42.572+00:00,0.126825
2026-07-15T18:45:18.394+00:00,LONG,AAVE,3,75,SIDEWAYS,HOLD,LONG,LONG,LONG,1m HOLD 50% RSI18 DOWN · 5m LONG 100% RSI52 DOWN · 15m LONG 100% RSI50 DOWN · 1h LONG 100% RSI40 SIDEWAYS,-0.0552,2026-07-15T19:20:19.309+00:00,96.6605
2026-07-15T19:47:00.808+00:00,LONG,SOL,2,75,SIDEWAYS,HOLD,HOLD,LONG,LONG,1m HOLD 0% RSI50 SIDEWAYS · 5m HOLD 50% RSI21 DOWN · 15m LONG 100% RSI45 SIDEWAYS · 1h LONG 100% RSI37 SIDEWAYS,1.55944,2026-07-15T20:35:17.177+00:00,77.1885
2026-07-15T20:36:21.791+00:00,LONG,AAVE,3,75,SIDEWAYS,LONG,HOLD,LONG,LONG,1m LONG 100% RSI46 UP · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI60 SIDEWAYS · 1h LONG 100% RSI41 SIDEWAYS,-9.3485,2026-07-16T08:09:22.435+00:00,96.9075
2026-07-15T20:38:17.06+00:00,LONG,SUI,3,100,SIDEWAYS,LONG,SHORT,LONG,LONG,1m LONG 100% RSI35 SIDEWAYS · 5m SHORT 100% RSI68 SIDEWAYS · 15m LONG 100% RSI58 SIDEWAYS · 1h LONG 100% RSI46 SIDEWAYS,1.593322,2026-07-15T22:56:19.749+00:00,0.75209
2026-07-15T22:56:23.089+00:00,LONG,HYPE,2,75,SIDEWAYS,HOLD,HOLD,LONG,LONG,1m HOLD 0% RSI50 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI50 DOWN · 1h LONG 100% RSI49 SIDEWAYS,-4.86486,2026-07-16T08:09:27.133+00:00,67.0345
2026-07-16T11:35:09.856+00:00,LONG,ETH,3,75,SIDEWAYS,SHORT,LONG,LONG,LONG,1m SHORT 100% RSI49 DOWN · 5m LONG 100% RSI41 DOWN · 15m LONG 100% RSI46 DOWN · 1h LONG 100% RSI27 SIDEWAYS,0.4305,2026-07-16T13:38:08.094+00:00,1884.35
